,Name_x,Ticker,3yr,Manager
0,Northeast Investors Trust,NTHEX US equity,6.63725,Bruce H Monrad
1,RBC BlueBay Global Bond Fund,RBTRX US equity,9.933056,Mark Dowding
2,RBC BlueBay Global Bond Fund,RBTRX US equity,9.933056,Polina Kurdyavko
3,RBC BlueBay Global Bond Fund,RBTRX US equity,9.933056,Thomas Kreuzer
4,RBC BlueBay Global Bond Fund,RBTRX US equity,9.933056,Justin Jewell
5,Aquila Three Peaks High Income Fund,ATIPX US equity,13.298279999999998,Sandy Rufenacht
6,Aquila Three Peaks High Income Fund,ATIPX US equity,13.298279999999998,David M Battilega
7,Access Flex High Yield Fund,FYAIX US equity,11.19338,Jeff Ploshnick
8,Access Flex High Yield Fund,FYAIX US equity,11.19338,Todd Bruce Johnson
9,Intrepid Income Fund,ICMUX US equity,14.25593,Hunter Hayes
10,Intrepid Income Fund,ICMUX US equity,14.25593,Mark F Travis
11,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,Garrett R D'Alessandro
12,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,Mark E Durbiano
13,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,George Goudelias
14,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,Simon Milledge
15,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,Stefan Paul Pinter
16,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,Maxim Matveev
17,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,Theodore Stohner
18,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,Bruce D Simon
19,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,Graham Rainbow
20,BMO Strategic Income Fund,MRGIX US equity,20.3483,Scott M Kimball
21,BMO Strategic Income Fund,MRGIX US equity,20.3483,Frank J Reda
22,Calamos High Income Fund,CCHYX US equity,11.75441,
23,Calamos High Income Fund,CCHYX US equity,11.75441,Jon Vacko
24,Calamos High Income Fund,CCHYX US equity,11.75441,Jeremy Hughes
25,Calamos High Income Fund,CCHYX US equity,11.75441,Eli Pars
26,Calamos High Income Fund,CCHYX US equity,11.75441,Nicholas Niziolek
27,Calamos High Income Fund,CCHYX US equity,11.75441,Chuck Carmody
28,Calamos High Income Fund,CCHYX US equity,11.75441,Matt Freund
29,Touchstone High Yield Fund,THYCX US equity,11.96391,Brendan M White
30,Invesco High Yield Fund,AMHYX US equity,12.184439999999999,Joseph Portera
31,Invesco High Yield Fund,AMHYX US equity,12.184439999999999,Niklas Nordenfelt
32,Invesco High Yield Fund,AMHYX US equity,12.184439999999999,Scott Roberts
33,Lazard US Corporate Income Portfolio,LZHYX US equity,15.05499,Jeffrey Clarke
34,MFS Global High Yield Fund,MHOBX US equity,12.01159,Matthew W Ryan
35,MFS Global High Yield Fund,MHOBX US equity,12.01159,Bill Adams
36,MFS Global High Yield Fund,MHOBX US equity,12.01159,Mike Skatrud
37,MFS Global High Yield Fund,MHOBX US equity,12.01159,David Cole
38,Janus Henderson Developed World Bond Fund,HFAAX US equity,19.65014,Jenna Barnard
39,Janus Henderson Developed World Bond Fund,HFAAX US equity,19.65014,John Pattullo
40,Barings Global Credit Income Opportunities Fund,BXIAX US equity,9.730181,Sean Feeley
41,Barings Global Credit Income Opportunities Fund,BXIAX US equity,9.730181,Scott Roth
42,Barings Global Credit Income Opportunities Fund,BXIAX US equity,9.730181,Thomas McDonnell
43,Barings Global Credit Income Opportunities Fund,BXIAX US equity,9.730181,David Mihalick
44,Barings Global Credit Income Opportunities Fund,BXIAX US equity,9.730181,Martin Horne
45,Dunham High Yield Bond Fund,DCHYX US equity,14.89163,
46,Delaware Fund For Income Fund,FIFIX US equity,13.64255,Paul A Matlack
47,Delaware Fund For Income Fund,FIFIX US equity,13.64255,Adam H Brown
48,Delaware Fund For Income Fund,FIFIX US equity,13.64255,Craig C Dembek
49,Delaware Fund For Income Fund,FIFIX US equity,13.64255,John P McCarthy
50,AllianzGI High Yield Bond Fund,AYBVX US equity,11.437380000000001,
51,Buffalo High Yield Fund Inc,BUFHX US equity,19.552570000000003,Jeff Sitzmann
52,Buffalo High Yield Fund Inc,BUFHX US equity,19.552570000000003,Paul Dlugosch
53,Buffalo High Yield Fund Inc,BUFHX US equity,19.552570000000003,"Alexander Hancock ""Alex"""
54,Buffalo High Yield Fund Inc,BUFHX US equity,19.552570000000003,Jeff Deardorff
55,Thrivent High Yield Fund,LBHYX US equity,12.26558,
56,HSBC Strategic Income Fund,HBIAX US equity,17.974629999999998,Ricky Liu
57,HSBC Strategic Income Fund,HBIAX US equity,17.974629999999998,Jerry Samet
58,Pioneer Global High Yield Fund,PGHYX US equity,9.509835,Matt Shulkin
59,Pioneer Global High Yield Fund,PGHYX US equity,9.509835,Ken Monaghan
60,Pioneer Global High Yield Fund,PGHYX US equity,9.509835,Andrew D Feltus
61,AB High Income Fund Inc,AGDAX US equity,9.72997,Paul J Denoon
62,AB High Income Fund Inc,AGDAX US equity,9.72997,Gershon M Distenfeld
63,AB High Income Fund Inc,AGDAX US equity,9.72997,"Douglas J Peebles ""Doug"""
64,AB High Income Fund Inc,AGDAX US equity,9.72997,Matt Sheridan
65,AB High Income Fund Inc,AGDAX US equity,9.72997,Marco G Santamaria
66,MainStay MacKay High Yield Corporate Bond Fund,MKHCX US equity,12.69721,Andrew Susser
67,Aberdeen Global High Income Fund,BJBHX US equity,14.9616,Erlend Lochen
68,Aberdeen Global High Income Fund,BJBHX US equity,14.9616,Arthur Milson
69,Aberdeen Global High Income Fund,BJBHX US equity,14.9616,George Westervelt
70,Aberdeen Global High Income Fund,BJBHX US equity,14.9616,"Matthew Kence ""Matt"""
71,Aberdeen Global High Income Fund,BJBHX US equity,14.9616,Ben Pakenham
72,Hotchkis & Wiley High Yield Fund,HWHIX US equity,9.019017999999999,Ray Kennedy
73,Hotchkis & Wiley High Yield Fund,HWHIX US equity,9.019017999999999,Mark Hudoff
74,Hotchkis & Wiley High Yield Fund,HWHIX US equity,9.019017999999999,Patrick Meegan
75,Hotchkis & Wiley High Yield Fund,HWHIX US equity,9.019017999999999,Richard Mak
76,Eaton Vance Income Fund of Boston,EVIBX US equity,14.658489999999999,Kelley G Baccei
77,Eaton Vance Income Fund of Boston,EVIBX US equity,14.658489999999999,Steve Concannon
78,Eaton Vance Income Fund of Boston,EVIBX US equity,14.658489999999999,Jeffrey D Mueller
79,Eaton Vance High Income Opportunities Fund,ETHIX US equity,14.42726,Jeffrey D Mueller
80,Eaton Vance High Income Opportunities Fund,ETHIX US equity,14.42726,Kelley G Baccei
81,Eaton Vance High Income Opportunities Fund,ETHIX US equity,14.42726,Steve Concannon
82,Wells Fargo High Yield Bond Fund,EKHAX US equity,14.13969,Robert Junkin
83,Wells Fargo High Yield Bond Fund,EKHAX US equity,14.13969,Margaret Patel
84,Invesco High Yield Bond Factor Fund,OGYAX US equity,13.908879999999998,
85,JPMorgan High Yield Fund,OHYFX US equity,12.710180000000001,Rob Cook
86,JPMorgan High Yield Fund,OHYFX US equity,12.710180000000001,Thomas Hauser
87,JPMorgan High Yield Fund,OHYFX US equity,12.710180000000001,Jeff Lovell
88,JPMorgan High Yield Fund,OHYFX US equity,12.710180000000001,Bill Morgan
89,JPMorgan High Yield Fund,OHYFX US equity,12.710180000000001,James P Shanahan Jr
90,Calvert High Yield Bond Fund,CYBIX US equity,15.35166,Michael W Weilheimer
91,Calvert High Yield Bond Fund,CYBIX US equity,15.35166,Stephen Concannon
92,Calvert High Yield Bond Fund,CYBIX US equity,15.35166,Rafe Leeman
93,Fidelity Focused High Income Fund,FHIFX US equity,15.79935,Matthew J Conti
94,Fidelity Focused High Income Fund,FHIFX US equity,15.79935,Michael Weaver
95,Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,12.4676,Richard A Hocker
96,Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,12.4676,Michael C Buchanan
97,Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,12.4676,"S Kenneth Leech ""Ken"""
98,Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,12.4676,Martin A Smith
99,Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,12.4676,David Jackson
100,American Century High-Yield Fund,AHYVX US equity,14.29865,John F Walsh
101,American Century High-Yield Fund,AHYVX US equity,14.29865,Jeff Houston
102,American Century High-Yield Fund,AHYVX US equity,14.29865,Gavin Fleischman
103,American Century High-Yield Fund,AHYVX US equity,14.29865,David Macewen
104,American Century High-Yield Fund,AHYVX US equity,14.29865,Kevin Akioka
105,DDJ Capital Opportunistic High Yield Fund,DDJCX US equity,9.150925,David J Breazzano
106,DDJ Capital Opportunistic High Yield Fund,DDJCX US equity,9.150925,"Benjamin J Santonelli ""Ben"""
107,DDJ Capital Opportunistic High Yield Fund,DDJCX US equity,9.150925,John W Sherman
108,Principal High Income Fund,PYHIX US equity,14.01085,Tom O'Reilly
109,Columbia High Yield Bond Fund,INEAX US equity,16.89893,Daniel Deyoung
110,Columbia High Yield Bond Fund,INEAX US equity,16.89893,Brian Lavin
111,BNY Mellon High Yield Fund,DPLTX US equity,14.310139999999999,Chris Barris
112,BNY Mellon High Yield Fund,DPLTX US equity,14.310139999999999,Kevin L Cronk
113,MassMutual Premier High Yield Fund,MPHAX US equity,12.996410000000001,Scott Roth
114,MassMutual Premier High Yield Fund,MPHAX US equity,12.996410000000001,Sean Feeley
115,HSBC High Yield Bond Fund,HBYAX US equity,16.80665,Mary Gottshall Bowers
116,HSBC High Yield Bond Fund,HBYAX US equity,16.80665,Ricky Liu
117,Pioneer High Yield Fund,TAHYX US equity,12.9414,Ken Monaghan
118,Pioneer High Yield Fund,TAHYX US equity,12.9414,Andrew D Feltus
119,Pioneer High Yield Fund,TAHYX US equity,12.9414,Matt Shulkin
120,Voya High Yield Bond Fund,IHYAX US equity,16.252470000000002,
121,Voya High Yield Bond Fund,IHYAX US equity,16.252470000000002,Matt Toms
122,Goldman Sachs High Yield Fund,GSHAX US equity,15.83605,Robert Magnuson
123,Goldman Sachs High Yield Fund,GSHAX US equity,15.83605,Rachel C Golder
124,Transamerica High Yield Bond,IHIYX US equity,13.75818,
125,Transamerica High Yield Bond,IHIYX US equity,13.75818,Ben Miller
126,Transamerica High Yield Bond,IHIYX US equity,13.75818,"James K Schaeffer Jr ""Jim"""
127,Transamerica High Yield Bond,IHIYX US equity,13.75818,Kevin Bakker
128,MFS High Income Fund,MHITX US equity,15.449770000000001,Bill Adams
129,MFS High Income Fund,MHITX US equity,15.449770000000001,Mike Skatrud
130,MFS High Income Fund,MHITX US equity,15.449770000000001,David Cole
131,MFS High Income Fund,MHITX US equity,15.449770000000001,
132,Janus Henderson High-Yield Fund,JHYAX US equity,16.637610000000002,
133,Stone Harbor High Yield Bond Fund,SHHYX US equity,17.35288,Marianne Rossi
134,Stone Harbor High Yield Bond Fund,SHHYX US equity,17.35288,Peter J Wilby
135,Stone Harbor High Yield Bond Fund,SHHYX US equity,17.35288,"Daniel Berkery ""Dan"""
136,Stone Harbor High Yield Bond Fund,SHHYX US equity,17.35288,Cathy Nolan
137,Timothy Plan High Yield Bond Fund,TPHAX US equity,17.23356,
138,Timothy Plan High Yield Bond Fund,TPHAX US equity,17.23356,Mark C Luchsinger
139,Timothy Plan High Yield Bond Fund,TPHAX US equity,17.23356,J Scott McDonald
140,Timothy Plan High Yield Bond Fund,TPHAX US equity,17.23356,Deborah Petruzzelli
141,Timothy Plan High Yield Bond Fund,TPHAX US equity,17.23356,Erik A Olson
142,Timothy Plan High Yield Bond Fund,TPHAX US equity,17.23356,John Steven Williams
143,PIMCO High Yield Fund,PHDAX US equity,16.22392,Andrew R Jessop
144,PIMCO High Yield Fund,PHDAX US equity,16.22392,Sonali Pier
145,Harbor High-Yield Bond Fund,HYFAX US equity,16.6513,Mark R Shenkman
146,Harbor High-Yield Bond Fund,HYFAX US equity,16.6513,Justin W Slatky
147,Harbor High-Yield Bond Fund,HYFAX US equity,16.6513,Eric Dobbin
148,Harbor High-Yield Bond Fund,HYFAX US equity,16.6513,Bob Kricheff
149,Harbor High-Yield Bond Fund,HYFAX US equity,16.6513,Neil Wechsler
150,First Eagle Funds - First Eagle High Income Fund,FEHAX US equity,14.711879999999999,Edward Meigs
151,First Eagle Funds - First Eagle High Income Fund,FEHAX US equity,14.711879999999999,Sean Michael Slein
152,Barings US High Yield Fund,BXHAX US equity,12.58548,
153,Penn Capital Multi-Credit High Income Fund,PHYNX US equity,13.81661,David Jackson
154,Fidelity Global High Income Fund,FGHNX US equity,13.36956,
155,Fidelity Global High Income Fund,FGHNX US equity,13.36956,Ian Spreadbury
156,Fidelity Global High Income Fund,FGHNX US equity,13.36956,Harley J Lank
157,Fidelity Global High Income Fund,FGHNX US equity,13.36956,Lisa J Roche
158,Fidelity Global High Income Fund,FGHNX US equity,13.36956,John H Carlson
159,Fidelity Global High Income Fund,FGHNX US equity,13.36956,James Durance
160,Westwood High Income Fund,WHGHX US equity,25.33986,Brendan M Ryan
161,Westwood High Income Fund,WHGHX US equity,25.33986,Adrian Helfert
162,Vanguard High-Yield Corporate Fund,VWEHX US equity,17.84401,Michael L Hong
163,Northern High Yield Fixed Income Fund,NHFIX US equity,17.46244,Benjamin McCubbin
164,Northern High Yield Fixed Income Fund,NHFIX US equity,17.46244,Eric Williams
165,Loomis Sayles Institutional High Income Fund,LSHIX US equity,9.796753,
166,Loomis Sayles Institutional High Income Fund,LSHIX US equity,9.796753,"Matthew J Eagan ""Matt"""
167,Neuberger Berman High Income Bond Fund,NHINX US equity,16.98268,Joseph W Lind
168,Neuberger Berman High Income Bond Fund,NHINX US equity,16.98268,Chris Kocinski
169,Neuberger Berman High Income Bond Fund,NHINX US equity,16.98268,Russ Covode
170,Neuberger Berman High Income Bond Fund,NHINX US equity,16.98268,Dan Doyle
171,Metropolitan West High Yield Bond Fund,MWHYX US equity,22.978579999999997,Stephen M Kane
172,Metropolitan West High Yield Bond Fund,MWHYX US equity,22.978579999999997,Laird R Landmann
173,Segall Bryant & Hamill Quality High Yield Fund,WTLTX US equity,17.25552,
174,Segall Bryant & Hamill Quality High Yield Fund,WTLTX US equity,17.25552,Gregory M Shea
175,John Hancock High Yield Fund,JHHBX US equity,15.17659,Caryn Rothman
176,John Hancock High Yield Fund,JHHBX US equity,15.17659,John Addeo
177,John Hancock High Yield Fund,JHHBX US equity,15.17659,Dennis F McCafferty
178,Virtus Newfleet High Yield Fund,PHCHX US equity,17.74738,David L Albrycht
179,Virtus Newfleet High Yield Fund,PHCHX US equity,17.74738,Kyle A Jennings
180,Virtus Newfleet High Yield Fund,PHCHX US equity,17.74738,Frank Ossino
181,Virtus Newfleet High Yield Fund,PHCHX US equity,17.74738,Eric Hess
182,Virtus Newfleet High Yield Fund,PHCHX US equity,17.74738,Bill Eastwood
183,Delaware High-Yield Opportunities Fund,DHOAX US equity,17.618270000000003,
184,Delaware High-Yield Opportunities Fund,DHOAX US equity,17.618270000000003,Adam H Brown
185,TIAA-CREF High Yield Fund,TIHYX US equity,15.09641,Kevin R Lorenz
186,TIAA-CREF High Yield Fund,TIHYX US equity,15.09641,Jean Lin
187,Fidelity High Income Fund,SPHIX US equity,13.045110000000001,Michael Weaver
188,Fidelity High Income Fund,SPHIX US equity,13.045110000000001,Alexandre Karam
189,TCW High Yield Bond Fund,TGHYX US equity,23.68195,Laird R Landmann
190,T Rowe Price High Yield Fund Inc,PRHYX US equity,15.522839999999999,Rodney Rayburn
191,USAA High Income Fund,USHYX US equity,12.63043,John Charles Spear
192,USAA High Income Fund,USHYX US equity,12.63043,Kurt Daum
193,USAA High Income Fund,USHYX US equity,12.63043,Neal Graves
194,USAA High Income Fund,USHYX US equity,12.63043,James Jackson
195,USAA High Income Fund,USHYX US equity,12.63043,Julianne Bass
196,Guggenheim High Yield Fund,SHYIX US equity,13.627270000000001,
197,Guggenheim High Yield Fund,SHYIX US equity,13.627270000000001,Kevin H Gundersen
198,Guggenheim High Yield Fund,SHYIX US equity,13.627270000000001,Thomas Hauser
199,Guggenheim High Yield Fund,SHYIX US equity,13.627270000000001,Richard De Wet
200,BrandywineGLOBAL - Global High Yield Fund,LMZIX US equity,14.455879999999999,Tracy Chen
201,BrandywineGLOBAL - Global High Yield Fund,LMZIX US equity,14.455879999999999,Brian L Kloss
202,BrandywineGLOBAL - Global High Yield Fund,LMZIX US equity,14.455879999999999,"Gerhardt P Herbert ""Gary"""
203,Principal Funds Income High Yield Fund,PHYTX US equity,14.6138,Josh Rank
204,Principal Funds Income High Yield Fund,PHYTX US equity,14.6138,Darrin E Smith
205,Principal Funds Income High Yield Fund,PHYTX US equity,14.6138,Mark P Denkinger
206,Morgan Stanley Institutional Fund Trust - High Yield Portfolio,MSYIX US equity,14.517539999999999,Jack Cimarosa
