1,2,3,4,5
Rydex Inverse High Yield Strategy Fund,RYIHX US equity,Michael Paul Byrum,MEMBER:FUND MANAGERMENT TEAM,#N/A N/A
,,Jim King,MEMBER: FUND MANAGEMENT TEAM,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
RiverPark Short Term High Yield Fund,RPHIX US equity,David K Sherman,Fund Manager,10/1/10
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
CMG Tactical Bond Fund,CHYAX US equity,"Stephen Blumenthal ""Steve""",Fund Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Delaware Floating Rate II Fund,FRFEX US equity,Adam H Brown,Co-Manager,10/4/19
,,John P McCarthy,Co-Manager,10/4/19
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
Northeast Investors Trust,NTHEX US equity,Ernest E Monrad,CO-MANAGER,6/1/60
,,Bruce H Monrad,Lead Portfolio Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Putnam Mortgage Opportunities Fund,PMOTX US equity,Michael V Salm,Portfolio Manager,1/1/15
,,Brett S Kozlowski,Portfolio Manager,1/1/15
,,Jatin Misra,Portfolio Manager,1/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US equity,Ross L Stevens,Member:Fund Management Team,1/1/13
,,Robert Gutmann,Member:Fund Management Team,1/1/13
,,Yan Zhao,Member:Fund Management Team,1/1/13
,,Alexander Nyren,Member:Fund Management Team,2/1/14
,,Ben Robbins,Member:Fund Management Team,5/1/15
,,,,
,,,,
,,,,
,,,,
,,,,
Shenkman Captial Short Duration High Income Fund,SCFAX US equity,Mark R Shenkman,Member: Fund Management Team,#N/A N/A
,,Nicholas Sarchese,Member: Fund Management Team,#N/A N/A
,,Neil Wechsler,Portfolio Manager,#N/A N/A
,,Justin W Slatky,Member:Fund Management Team,7/1/16
,,Jordan Barrow,Member:Fund Management Team,12/1/16
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Wells Fargo Short-Term High Yield Bond Fund,SSTHX US equity,Niklas Nordenfelt,MEMBER FUND MANAGEMENT TEAM,1/1/20
,,Mike Schueller,Member:Fund Management Team,1/1/07
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
RBC BlueBay Global Bond Fund,RBTRX US equity,Mark Dowding,Member:Fund Management Team,1/1/14
,,Polina Kurdyavko,Member:Fund Management Team,1/1/14
,,"Michael Reed ""Mike""",Member:Fund Management Team,1/1/14
,,Nick Shearn,Member:Fund Management Team,1/1/14
,,Thomas Kreuzer,Member:Fund Management Team,1/1/16
,,Justin Jewell,Member:Fund Management Team,1/1/16
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Chartwell Short Duration High Yield Fund,CWFIX US equity,Christine F Williams,Member: Fund Management Team,7/15/14
,,Andrew S Toburen,Member: Fund Management Team,7/15/14
,,John M Hopkins,Member: Fund Management Team,7/15/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Aquila Three Peaks High Income Fund,ATIPX US equity,Sandy Rufenacht,Co-Manager,1/1/06
,,David M Battilega,Co-Manager,1/1/13
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Eaton Vance Short Duration High Income Fund,ESHAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
First Trust Short Duration High Income Fund,FDHAX US equity,Bill Housey,Member:Fund Management Team,1/1/12
,,Scott Fries,Member:Fund Management Team,1/1/12
,,Peter Fasone,Member:Fund Management Team,1/1/12
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
Access Flex High Yield Fund,FYAIX US equity,Jeff Ploshnick,Co-Manager,12/1/04
,,Todd Bruce Johnson,Co-Manager,12/1/08
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
Fidelity Advisor Short Duration High Income Fund,FSBHX US equity,Matthew J Conti,Fund Manager,11/1/13
,,Michael R Plage,Fund Manager,11/1/13
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Intrepid Income Fund,ICMUX US equity,Hunter Hayes,LEAD MANAGER,7/1/19
,,Mark F Travis,Co-Lead Portfolio Manager,11/13/18
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
AB Limited Duration High Income Portfolio,ALHAX US equity,Gershon M Distenfeld,Member: Fund Management Team,#N/A N/A
,,Sherif M Hamid,Member: Fund Management Team,#N/A N/A
,,Ivan Rudolph-Shabinsky,Member: Fund Management Team,12/9/11
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Garrett R D'Alessandro,Member: Fund Management Team,7/1/09
,,Mark E Durbiano,Member: Fund Management Team,7/1/09
,,George Goudelias,Member: Fund Management Team,7/1/09
,,Simon Milledge,Fund Manager,#N/A N/A
,,Stefan Paul Pinter,Member: Fund Management Team,6/1/11
,,Maxim Matveev,Member: Fund Management Team,6/1/11
,,Theodore Stohner,Member: Fund Management Team,6/1/11
,,Bruce D Simon,Member: Fund Management Team,4/1/13
,,Graham Rainbow,Member: Fund Management Team,3/1/14
,,,,
AllianzGI Short Duration High Income Fund,ASHAX US equity,Douglas G Forsyth,Member: Fund Management Team,#N/A N/A
,,Steven Gish,Member: Fund Management Team,1/1/14
,,James Dudnick,Member: Fund Management Team,1/1/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
MainStay MacKay Short Duration High Yield Fund,MDHAX US equity,Andrew Susser,Fund Manager,12/1/12
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
BMO Strategic Income Fund,MRGIX US equity,Scott M Kimball,Co Manager,1/1/13
,,Frank J Reda,Co-Manager,1/1/17
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
PGIM Short Duration High Yield,HYSAX US equity,Ryan Kelly,Member:Fund Management Team,10/1/12
,,Robert Spano,Member:Fund Management Team,10/1/12
,,Daniel Thorogood,Member:Fund Management Team,10/1/12
,,Robert Cignarella,Member:Fund Management Team,#N/A N/A
,,Brian Clapp,Member:Fund Management Team,1/1/13
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Calamos High Income Fund,CCHYX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,Jon Vacko,Member: Fund Management Team,1/1/03
,,Jeremy Hughes,Member: Fund Management Team,#N/A N/A
,,Eli Pars,Member: Fund Management Team,#N/A N/A
,,Nicholas Niziolek,Member: Fund Management Team,3/1/13
,,Chuck Carmody,Member: Fund Management Team,2/29/16
,,Matt Freund,Member:Fund Management Team,11/1/16
,,,,
,,,,
Touchstone High Yield Fund,THYCX US equity,Brendan M White,FUND MANAGER,5/1/00
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Invesco High Yield Fund,AMHYX US equity,Joseph Portera,Member Fund Management Team,1/1/20
,,Niklas Nordenfelt,Member Fund Management Team,1/1/20
,,Scott Roberts,Member Fund Management Team,11/1/10
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
Lazard US Corporate Income Portfolio,LZHYX US equity,Jeffrey Clarke,Fund Manager,8/31/17
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
MFS Global High Yield Fund,MHOBX US equity,Matthew W Ryan,MEMBER:FUND MANAGEMENT TEAM,1/1/05
,,Bill Adams,Member: Fund Management Team,5/1/11
,,Mike Skatrud,Member:Fund Management Team,3/1/18
,,David Cole,Member: Fund Management Team,1/1/06
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Janus Henderson Developed World Bond Fund,HFAAX US equity,Jenna Barnard,Co-Manager,12/1/08
,,John Pattullo,Co-Manager,12/1/08
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Barings Global Credit Income Opportunities Fund,BXIAX US equity,Sean Feeley,Member:Fund Management Team,#N/A N/A
,,Scott Roth,Member:Fund Management Team,#N/A N/A
,,Thomas McDonnell,Member:Fund Management Team,#N/A N/A
,,David Mihalick,Member:Fund Management Team,#N/A N/A
,,Martin Horne,Portfolio Manager,3/8/16
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
Dunham High Yield Bond Fund,DCHYX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
Delaware Fund For Income Fund,FIFIX US equity,Paul A Matlack,Member:Fund Management Team,10/4/19
,,Adam H Brown,Member:Fund Management Team,10/4/19
,,Craig C Dembek,Member:Fund Management Team,10/4/19
,,John P McCarthy,Member:Fund Management Team,10/4/19
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
AllianzGI High Yield Bond Fund,AYBVX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Buffalo High Yield Fund Inc,BUFHX US equity,Jeff Sitzmann,MEMBER: FUND MANAGEMENT TEAM,#N/A N/A
,,Paul Dlugosch,MEMBER: FUND MANAGEMENT TEAM,#N/A N/A
,,"Alexander Hancock ""Alex""",MEMBER: FUND MANAGEMENT TEAM,#N/A N/A
,,Jeff Deardorff,Member: Fund Management Team,1/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Western Asset Short Duration High Income Fund,SHIAX US equity,Walter E Kilcullen,Member:Fund Management Team,1/1/12
,,"S Kenneth Leech ""Ken""",Member:Fund Management Team,1/1/14
,,Michael C Buchanan,Member:Fund Management Team,1/1/06
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Thrivent High Yield Fund,LBHYX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
HSBC Strategic Income Fund,HBIAX US equity,Ricky Liu,Lead Manager,7/14/15
,,Jerry Samet,Co-Manager,7/14/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Pioneer Global High Yield Fund,PGHYX US equity,Matt Shulkin,Co Manager,10/1/19
,,Ken Monaghan,Co Manager,10/1/17
,,Andrew D Feltus,Co-Manager,1/1/01
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
AB High Income Fund Inc,AGDAX US equity,Paul J Denoon,Member: Fund Management Team,8/1/02
,,Gershon M Distenfeld,Member: Fund Management Team,1/1/08
,,"Douglas J Peebles ""Doug""",Member: Fund Management Team,1/1/02
,,Matt Sheridan,Member: Fund Management Team,1/1/05
,,Marco G Santamaria,Member: Fund Management Team,1/1/10
,,,,
,,,,
,,,,
,,,,
,,,,
MainStay MacKay High Yield Corporate Bond Fund,MKHCX US equity,Andrew Susser,Fund Manager,2/1/13
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Aberdeen Global High Income Fund,BJBHX US equity,Erlend Lochen,MEMBER FUND MANAGEMENT TEAM,1/1/19
,,Arthur Milson,Member Fund Management Team,1/1/19
,,George Westervelt,MEMBER FUND MANAGEMENT TEAM,1/1/20
,,"Matthew Kence ""Matt""",MEMBER FUND MANAGEMENT TEAM,1/1/20
,,Ben Pakenham,Member Fund Management Team,1/1/16
,,,,
,,,,
,,,,
,,,,
,,,,
Hotchkis & Wiley High Yield Fund,HWHIX US equity,Ray Kennedy,Member:Fund Management Team,1/1/09
,,Mark Hudoff,Member:Fund Management Team,1/1/09
,,Patrick Meegan,Member:Fund Management Team,1/1/12
,,Richard Mak,Member:Fund Management Team,1/1/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
